Date,close,high,low,open,margin,Volume,sentiment,compound_score
2-1-2014,2025,2025,1963,1975,50,63.984.000,Neutral,0.0
3-1-2014,1950,2025,1938,2013,-63,105.794.000,Neutral,0.0
6-1-2014,1913,1963,1900,1950,-37,51.674.800,Neutral,0.0
7-1-2014,1906,1931,1900,1913,-7,81.169.200,Neutral,0.0
8-1-2014,1956,1963,1913,1925,31,59.954.000,Neutral,0.0
9-1-2014,1950,1981,1925,1956,-6,71.207.200,Neutral,0.0
10-1-2014,2063,2094,1950,1950,113,153.947.200,Neutral,0.0
13-1-2014,2200,2200,2119,2125,75,228.783.600,Neutral,0.0
15-1-2014,2200,2381,2181,2206,-6,220.250.000,Neutral,0.0
16-1-2014,2156,2225,2156,2219,-63,76.988.000,Neutral,0.0
17-1-2014,2188,2200,2156,2156,32,58.350.000,Neutral,0.0
20-1-2014,2188,2200,2169,2200,-12,27.171.600,Neutral,0.0
21-1-2014,2194,2206,2188,2200,-6,59.725.600,Neutral,0.0
22-1-2014,2238,2244,2181,2200,38,110.857.200,Neutral,0.0
23-1-2014,2219,2269,2219,2250,-31,109.866.800,Neutral,0.0
24-1-2014,2169,2225,2156,2169,0,109.728.400,Neutral,0.0
27-1-2014,2075,2100,2038,2063,12,210.759.200,Negative,-3.818
28-1-2014,2069,2088,2038,2063,6,164.112.800,Neutral,0.0
29-1-2014,2175,2188,2075,2088,87,190.262.800,Neutral,0.0
30-1-2014,2175,2175,2094,2113,62,132.577.200,Neutral,0.0
3-2-2014,2175,2206,2138,2206,-31,108.214.000,Neutral,0.0
4-2-2014,2131,2156,2100,2131,0,95.244.800,Neutral,0.0
5-2-2014,2150,2163,2125,2163,-13,84.726.400,Neutral,0.0
6-2-2014,2156,2163,2125,2163,-7,70.481.600,Neutral,0.0
7-2-2014,2194,2213,2163,2169,25,101.737.200,Neutral,0.0
10-2-2014,2188,2231,2188,2213,-25,72.448.800,Neutral,0.0
11-2-2014,2238,2263,2213,2219,19,206.115.200,Neutral,0.0
12-2-2014,2244,2275,2219,2269,-25,131.831.600,Neutral,0.0
13-2-2014,2250,2250,2231,2250,0,59.296.000,Neutral,0.0
14-2-2014,2256,2263,2238,2250,6,107.262.000,Neutral,0.0
17-2-2014,2288,2294,2263,2269,19,160.782.000,Neutral,0.0
18-2-2014,2281,2294,2263,2288,-7,114.412.800,Neutral,0.0
19-2-2014,2281,2300,2263,2281,0,168.598.000,Neutral,0.0
20-2-2014,2306,2319,2275,2275,31,147.004.400,Neutral,0.0
21-2-2014,2356,2356,2306,2313,43,195.956.800,Neutral,0.0
24-2-2014,2350,2413,2344,2375,-25,147.883.200,Neutral,0.0
25-2-2014,2263,2375,2256,2375,-112,125.208.400,Neutral,0.0
26-2-2014,2238,2275,2206,2250,-12,222.663.200,Neutral,0.0
27-2-2014,2250,2269,2231,2238,12,89.265.200,Neutral,0.0
28-2-2014,2275,2281,2238,2263,12,130.770.000,Neutral,0.0
3-3-2014,2275,2275,2250,2250,25,128.786.400,Neutral,0.0
4-3-2014,2281,2300,2256,2275,6,137.225.200,Neutral,0.0
5-3-2014,2350,2350,2294,2300,50,189.594.000,Neutral,0.0
6-3-2014,2350,2369,2344,2369,-19,95.042.800,Neutral,0.0
7-3-2014,2313,2375,2306,2375,-62,68.054.000,Neutral,0.0
