Date,close,high,low,open,margin,Volume,sentiment,compound_score
02/01/2014,2025,2025,1963,1975,50,63984000,Positive,"0,5986"
03/01/2014,1950,2025,1938,2013,-63,105794000,Negative,"-0,1843"
06/01/2014,1913,1963,1900,1950,-37,51674800,Negative,"-0,1695"
07/01/2014,1906,1931,1900,1913,-7,81169200,Negative,"-0,2542"
08/01/2014,1956,1963,1913,1925,31,59954000,Positive,"0,5808"
09/01/2014,1950,1981,1925,1956,-6,71207200,Negative,"-0,289"
10/01/2014,2063,2094,1950,1950,113,153947200,Positive,"0,2032"
13/01/2014,2200,2200,2119,2125,75,228783600,Positive,"0,5944"
15/01/2014,2200,2381,2181,2206,-6,220250000,Negative,"-0,3431"
16/01/2014,2156,2225,2156,2219,-63,76988000,Negative,"-0,1967"
17/01/2014,2188,2200,2156,2156,32,58350000,Positive,"0,175"
20/01/2014,2188,2200,2169,2200,-12,27171600,Negative,"-0,1027"
21/01/2014,2194,2206,2188,2200,-6,59725600,Negative,"-0,4746"
22/01/2014,2238,2244,2181,2200,38,110857200,Positive,"0,3859"
23/01/2014,2219,2269,2219,2250,-31,109866800,Negative,"-0,4545"
24/01/2014,2169,2225,2156,2169,0,109728400,Positive,"0,3192"
27/01/2014,2075,2100,2038,2063,12,210759200,Positive,"0,6519"
28/01/2014,2069,2088,2038,2063,6,164112800,Positive,"0,8106"
29/01/2014,2175,2188,2075,2088,87,190262800,Positive,"0,413"
30/01/2014,2175,2175,2094,2113,62,132577200,Positive,"0,7833"
03/02/2014,2175,2206,2138,2206,-31,108214000,Negative,"-0,3153"
04/02/2014,2131,2156,2100,2131,0,95244800,Positive,"0,9254"
05/02/2014,2150,2163,2125,2163,-13,84726400,Negative,"-0,3519"
06/02/2014,2156,2163,2125,2163,-7,70481600,Negative,"-0,1817"
07/02/2014,2194,2213,2163,2169,25,101737200,Positive,"0,9833"
10/02/2014,2188,2231,2188,2213,-25,72448800,Negative,"-0,4896"
11/02/2014,2238,2263,2213,2219,19,206115200,Positive,"0,569"
12/02/2014,2244,2275,2219,2269,-25,131831600,Negative,"-0,4515"
13/02/2014,2250,2250,2231,2250,0,59296000,Positive,"0,0101"
14/02/2014,2256,2263,2238,2250,6,107262000,Positive,"0,3185"
17/02/2014,2288,2294,2263,2269,19,160782000,Positive,"0,8711"
18/02/2014,2281,2294,2263,2288,-7,114412800,Negative,"-0,1942"
19/02/2014,2281,2300,2263,2281,0,168598000,Positive,"0,9566"
20/02/2014,2306,2319,2275,2275,31,147004400,Positive,"0,555"
21/02/2014,2356,2356,2306,2313,43,195956800,Positive,"0,3266"
24/02/2014,2350,2413,2344,2375,-25,147883200,Negative,"-0,1908"
25/02/2014,2263,2375,2256,2375,-112,125208400,Negative,"-0,308"
26/02/2014,2238,2275,2206,2250,-12,222663200,Negative,"-0,1193"
27/02/2014,2250,2269,2231,2238,12,89265200,Positive,"0,5387"
28/02/2014,2275,2281,2238,2263,12,130770000,Positive,"0,5255"
03/03/2014,2275,2275,2250,2250,25,128786400,Positive,"0,1295"
04/03/2014,2281,2300,2256,2275,6,137225200,Positive,"0,9537"
05/03/2014,2350,2350,2294,2300,50,189594000,Positive,"0,2778"
06/03/2014,2350,2369,2344,2369,-19,95042800,Negative,"-0,1975"
07/03/2014,2313,2375,2306,2375,-62,68054000,Negative,"-0,1408"
10/03/2014,2300,2344,2275,2344,-44,85980000,Negative,"-0,2617"
11/03/2014,2344,2350,2300,2313,31,122784000,Positive,"0,427"
12/03/2014,2306,2338,2294,2306,0,78838000,Positive,"0,5154"
13/03/2014,2325,2325,2300,2300,25,71212800,Positive,"0,2271"
14/03/2014,2538,2563,2288,2300,238,379488800,Positive,"0,1822"
17/03/2014,2494,2538,2431,2500,-6,226867600,Negative,"-0,2324"
18/03/2014,2431,2500,2431,2475,-44,131869200,Negative,"-0,2991"
19/03/2014,2444,2463,2425,2431,13,128559200,Positive,"0,2338"
20/03/2014,2338,2438,2331,2438,-100,237560400,Negative,"-0,1972"
21/03/2014,2344,2375,2331,2356,-12,151603200,Negative,"-0,2328"
24/03/2014,2375,2394,2350,2375,0,108480800,Positive,"0,7223"
25/03/2014,2381,2381,2356,2363,18,79857600,Positive,"0,6664"
26/03/2014,2394,2419,2375,2394,0,127667600,Positive,"0,3669"
27/03/2014,2350,2388,2350,2350,0,105750800,Positive,"0,8922"
28/03/2014,2363,2400,2350,2381,-18,376191600,Negative,"-0,4113"
01/04/2014,2488,2488,2394,2394,94,268127600,Positive,"0,3727"
02/04/2014,2538,2550,2494,2500,38,178996000,Positive,"0,4374"
03/04/2014,2575,2575,2525,2550,25,157111200,Positive,"0,6336"
04/04/2014,2531,2588,2506,2581,-50,96803200,Negative,"-0,2093"
07/04/2014,2563,2569,2513,2531,32,135627200,Positive,"0,8698"
08/04/2014,2563,2575,2538,2575,-12,95152000,Negative,"-0,2308"
09/04/2014,2563,2563,2563,2563,0,0,Positive,"0,2258"
10/04/2014,2413,2438,2381,2388,25,450579200,Positive,"0,3795"
11/04/2014,2425,2450,2388,2400,25,184430400,Positive,"0,9415"
14/04/2014,2438,2444,2419,2419,19,142453200,Positive,"0,7691"
15/04/2014,2438,2456,2438,2450,-12,76331600,Negative,"-0,1221"
16/04/2014,2494,2506,2450,2456,38,106918800,Positive,"0,402"
17/04/2014,2463,2525,2444,2519,-56,147078800,Negative,"-0,4773"
21/04/2014,2456,2469,2450,2469,-13,38727200,Negative,"-0,1463"
22/04/2014,2463,2481,2431,2469,-6,115042000,Negative,"-0,2684"
23/04/2014,2475,2488,2456,2463,12,80303200,Positive,"0,4422"
24/04/2014,2469,2475,2450,2456,13,69398000,Positive,"0,8023"
25/04/2014,2475,2500,2463,2469,6,71704000,Positive,"0,2516"
28/04/2014,2438,2500,2431,2500,-62,116084400,Negative,"-0,4193"
29/04/2014,2450,2475,2431,2475,-25,46608800,Negative,"-0,2755"
30/04/2014,2456,2463,2444,2450,6,93242400,Positive,"0,4558"
02/05/2014,2469,2494,2463,2475,-6,86257200,Negative,"-0,2841"
05/05/2014,2463,2488,2444,2469,-6,56014400,Negative,"-0,4025"
06/05/2014,2469,2475,2456,2475,-6,21791600,Negative,"-0,3771"
07/05/2014,2494,2500,2463,2463,31,82346400,Positive,"0,2813"
08/05/2014,2506,2513,2488,2506,0,43227200,Positive,"0,5617"
09/05/2014,2519,2525,2488,2525,-6,48956000,Negative,"-0,2717"
12/05/2014,2494,2525,2494,2525,-31,70641200,Negative,"-0,4666"
13/05/2014,2519,2519,2500,2519,0,61065600,Positive,"0,1302"
14/05/2014,2581,2588,2519,2525,56,219808400,Positive,"0,7234"
16/05/2014,2650,2650,2569,2575,75,202264800,Positive,"0,9071"
19/05/2014,2656,2706,2606,2656,0,225986800,Positive,"0,0733"
20/05/2014,2525,2663,2500,2525,0,210495200,Positive,"0,449"
21/05/2014,2538,2550,2506,2538,0,69045200,Positive,"0,1595"
22/05/2014,2594,2606,2550,2594,0,106400400,Positive,"0,5999"
23/05/2014,2594,2606,2575,2594,0,51238400,Positive,"0,3061"
26/05/2014,2581,2613,2556,2581,0,35746000,Positive,"0,8539"
28/05/2014,2594,2600,2569,2594,0,79694000,Positive,"0,8537"
30/05/2014,2544,2594,2513,2544,0,247178400,Positive,"0,4308"
02/06/2014,2550,2563,2531,2550,0,76876800,Positive,"0,064"
03/06/2014,2550,2556,2519,2550,0,126123600,Positive,"0,0178"
04/06/2014,2538,2556,2525,2538,0,106749600,Positive,"0,1628"
05/06/2014,2550,2550,2506,2550,0,66263600,Positive,"0,897"
06/06/2014,2519,2544,2506,2519,0,107951200,Positive,"0,7189"
09/06/2014,2450,2544,2438,2450,0,134515200,Positive,"0,7349"
10/06/2014,2494,2494,2456,2494,0,148333200,Positive,"0,074"
11/06/2014,2488,2494,2463,2488,0,98108000,Positive,"0,1472"
12/06/2014,2481,2494,2463,2481,0,104930800,Positive,"0,2619"
13/06/2014,2481,2488,2463,2481,0,82041200,Positive,"0,6747"
16/06/2014,2463,2481,2438,2463,0,61751200,Positive,"0,2129"
17/06/2014,2475,2481,2444,2475,0,60293600,Positive,"0,5485"
18/06/2014,2469,2481,2463,2469,0,87876000,Positive,"0,2423"
19/06/2014,2450,2481,2444,2450,0,105030000,Positive,"0,5232"
20/06/2014,2450,2469,2444,2450,0,67474800,Positive,"0,0872"
23/06/2014,2438,2469,2431,2438,0,92584000,Positive,"0,6804"
24/06/2014,2444,2456,2431,2444,0,62032400,Positive,"0,5667"
25/06/2014,2438,2456,2425,2438,0,103590400,Positive,"0,9132"
26/06/2014,2463,2475,2438,2463,0,149123600,Positive,"0,3047"
27/06/2014,2413,2463,2406,2413,0,133020400,Positive,"0,4047"
30/06/2014,2431,2431,2406,2431,0,80812800,Positive,"0,6287"
01/07/2014,2456,2463,2425,2456,0,67317200,Positive,"0,797"
02/07/2014,2463,2469,2444,2463,0,107994400,Positive,"0,5358"
03/07/2014,2413,2469,2406,2413,0,177824000,Positive,"0,5435"
04/07/2014,2419,2438,2413,2419,0,70222800,Positive,"0,5343"
07/07/2014,2481,2481,2431,2481,0,255845600,Positive,"0,683"
08/07/2014,2538,2556,2494,2538,0,408720400,Positive,"0,8025"
09/07/2014,2538,2538,2538,2538,0,0,Positive,"0,6146"
10/07/2014,2619,2750,2594,2619,0,801523200,Positive,"0,7687"
11/07/2014,2625,2625,2569,2625,0,186758800,Positive,"0,4669"
