Date,close,high,low,open,margin,Volume,sentiment,compound_score
02/01/2014,2025,2025,1963,1975,50,63.984.000,Positive,"0,5986"
03/01/2014,1950,2025,1938,2013,-63,105.794.000,Negative,"-0,1843"
06/01/2014,1913,1963,1900,1950,-37,51.674.800,Negative,"-0,1695"
07/01/2014,1906,1931,1900,1913,-7,81.169.200,Negative,"-0,2542"
08/01/2014,1956,1963,1913,1925,31,59.954.000,Positive,"0,5808"
09/01/2014,1950,1981,1925,1956,-6,71.207.200,Negative,"-0,289"
10/01/2014,2063,2094,1950,1950,113,153.947.200,Positive,"0,2032"
13/01/2014,2200,2200,2119,2125,75,228.783.600,Positive,"0,5944"
15/01/2014,2200,2381,2181,2206,-6,220.250.000,Negative,"-0,3431"
16/01/2014,2156,2225,2156,2219,-63,76.988.000,Negative,"-0,1967"
17/01/2014,2188,2200,2156,2156,32,58.350.000,Positive,"0,175"
20/01/2014,2188,2200,2169,2200,-12,27.171.600,Negative,"-0,1027"
21/01/2014,2194,2206,2188,2200,-6,59.725.600,Negative,"-0,4746"
22/01/2014,2238,2244,2181,2200,38,110.857.200,Positive,"0,3859"
23/01/2014,2219,2269,2219,2250,-31,109.866.800,Negative,"-0,4545"
24/01/2014,2169,2225,2156,2169,0,109.728.400,Positive,"0,3192"
27/01/2014,2075,2100,2038,2063,12,210.759.200,Positive,"0,6519"
28/01/2014,2069,2088,2038,2063,6,164.112.800,Positive,"0,8106"
29/01/2014,2175,2188,2075,2088,87,190.262.800,Positive,"0,413"
30/01/2014,2175,2175,2094,2113,62,132.577.200,Positive,"0,7833"
03/02/2014,2175,2206,2138,2206,-31,108.214.000,Negative,"-0,3153"
04/02/2014,2131,2156,2100,2131,0,95.244.800,Positive,"0,9254"
05/02/2014,2150,2163,2125,2163,-13,84.726.400,Negative,"-0,3519"
06/02/2014,2156,2163,2125,2163,-7,70.481.600,Negative,"-0,1817"
07/02/2014,2194,2213,2163,2169,25,101.737.200,Positive,"0,9833"
10/02/2014,2188,2231,2188,2213,-25,72.448.800,Negative,"-0,4896"
11/02/2014,2238,2263,2213,2219,19,206.115.200,Positive,"0,569"
12/02/2014,2244,2275,2219,2269,-25,131.831.600,Negative,"-0,4515"
13/02/2014,2250,2250,2231,2250,0,59.296.000,Positive,"0,0101"
14/02/2014,2256,2263,2238,2250,6,107.262.000,Positive,"0,3185"
17/02/2014,2288,2294,2263,2269,19,160.782.000,Positive,"0,8711"
18/02/2014,2281,2294,2263,2288,-7,114.412.800,Negative,"-0,1942"
19/02/2014,2281,2300,2263,2281,0,168.598.000,Positive,"0,9566"
20/02/2014,2306,2319,2275,2275,31,147.004.400,Positive,"0,555"
21/02/2014,2356,2356,2306,2313,43,195.956.800,Positive,"0,3266"
24/02/2014,2350,2413,2344,2375,-25,147.883.200,Negative,"-0,1908"
25/02/2014,2263,2375,2256,2375,-112,125.208.400,Negative,"-0,308"
26/02/2014,2238,2275,2206,2250,-12,222.663.200,Negative,"-0,1193"
27/02/2014,2250,2269,2231,2238,12,89.265.200,Positive,"0,5387"
28/02/2014,2275,2281,2238,2263,12,130.770.000,Positive,"0,5255"
03/03/2014,2275,2275,2250,2250,25,128.786.400,Positive,"0,1295"
04/03/2014,2281,2300,2256,2275,6,137.225.200,Positive,"0,9537"
05/03/2014,2350,2350,2294,2300,50,189.594.000,Positive,"0,2778"
06/03/2014,2350,2369,2344,2369,-19,95.042.800,Negative,"-0,1975"
07/03/2014,2313,2375,2306,2375,-62,68.054.000,Negative,"-0,1408"
10/03/2014,2300,2344,2275,2344,-44,85.980.000,Negative,"-0,2617"
11/03/2014,2344,2350,2300,2313,31,122.784.000,Positive,"0,427"
12/03/2014,2306,2338,2294,2306,0,78.838.000,Positive,"0,5154"
13/03/2014,2325,2325,2300,2300,25,71.212.800,Positive,"0,2271"
14/03/2014,2538,2563,2288,2300,238,379.488.800,Positive,"0,1822"
17/03/2014,2494,2538,2431,2500,-6,226.867.600,Negative,"-0,2324"
18/03/2014,2431,2500,2431,2475,-44,131.869.200,Negative,"-0,2991"
19/03/2014,2444,2463,2425,2431,13,128.559.200,Positive,"0,2338"
20/03/2014,2338,2438,2331,2438,-100,237.560.400,Negative,"-0,1972"
21/03/2014,2344,2375,2331,2356,-12,151.603.200,Negative,"-0,2328"
24/03/2014,2375,2394,2350,2375,0,108.480.800,Positive,"0,7223"
25/03/2014,2381,2381,2356,2363,18,79.857.600,Positive,"0,6664"
26/03/2014,2394,2419,2375,2394,0,127.667.600,Positive,"0,3669"
27/03/2014,2350,2388,2350,2350,0,105.750.800,Positive,"0,8922"
28/03/2014,2363,2400,2350,2381,-18,376.191.600,Negative,"-0,4113"
01/04/2014,2488,2488,2394,2394,94,268.127.600,Positive,"0,3727"
02/04/2014,2538,2550,2494,2500,38,178.996.000,Positive,"0,4374"
03/04/2014,2575,2575,2525,2550,25,157.111.200,Positive,"0,6336"
04/04/2014,2531,2588,2506,2581,-50,96.803.200,Negative,"-0,2093"
07/04/2014,2563,2569,2513,2531,32,135.627.200,Positive,"0,8698"
08/04/2014,2563,2575,2538,2575,-12,95.152.000,Negative,"-0,2308"
09/04/2014,2563,2563,2563,2563,0,0,Positive,"0,2258"
10/04/2014,2413,2438,2381,2388,25,450.579.200,Positive,"0,3795"
11/04/2014,2425,2450,2388,2400,25,184.430.400,Positive,"0,9415"
14/04/2014,2438,2444,2419,2419,19,142.453.200,Positive,"0,7691"
15/04/2014,2438,2456,2438,2450,-12,76.331.600,Negative,"-0,1221"
16/04/2014,2494,2506,2450,2456,38,106.918.800,Positive,"0,402"
17/04/2014,2463,2525,2444,2519,-56,147.078.800,Negative,"-0,4773"
21/04/2014,2456,2469,2450,2469,-13,38.727.200,Negative,"-0,1463"
22/04/2014,2463,2481,2431,2469,-6,115.042.000,Negative,"-0,2684"
23/04/2014,2475,2488,2456,2463,12,80.303.200,Positive,"0,4422"
24/04/2014,2469,2475,2450,2456,13,69.398.000,Positive,"0,8023"
25/04/2014,2475,2500,2463,2469,6,71.704.000,Positive,"0,2516"
28/04/2014,2438,2500,2431,2500,-62,116.084.400,Negative,"-0,4193"
29/04/2014,2450,2475,2431,2475,-25,46.608.800,Negative,"-0,2755"
30/04/2014,2456,2463,2444,2450,6,93.242.400,Positive,"0,4558"
02/05/2014,2469,2494,2463,2475,-6,86.257.200,Negative,"-0,2841"
05/05/2014,2463,2488,2444,2469,-6,56.014.400,Negative,"-0,4025"
06/05/2014,2469,2475,2456,2475,-6,21.791.600,Negative,"-0,3771"
07/05/2014,2494,2500,2463,2463,31,82.346.400,Positive,"0,2813"
08/05/2014,2506,2513,2488,2506,0,43.227.200,Positive,"0,5617"
09/05/2014,2519,2525,2488,2525,-6,48.956.000,Negative,"-0,2717"
12/05/2014,2494,2525,2494,2525,-31,70.641.200,Negative,"-0,4666"
13/05/2014,2519,2519,2500,2519,0,61.065.600,Positive,"0,1302"
14/05/2014,2581,2588,2519,2525,56,219.808.400,Positive,"0,7234"
16/05/2014,2650,2650,2569,2575,75,202.264.800,Positive,"0,9071"
19/05/2014,2656,2706,2606,2656,0,225.986.800,Positive,"0,0733"
20/05/2014,2525,2663,2500,2525,0,210.495.200,Positive,"0,449"
21/05/2014,2538,2550,2506,2538,0,69.045.200,Positive,"0,1595"
22/05/2014,2594,2606,2550,2594,0,106.400.400,Positive,"0,5999"
23/05/2014,2594,2606,2575,2594,0,51.238.400,Positive,"0,3061"
26/05/2014,2581,2613,2556,2581,0,35.746.000,Positive,"0,8539"
28/05/2014,2594,2600,2569,2594,0,79.694.000,Positive,"0,8537"
30/05/2014,2544,2594,2513,2544,0,247.178.400,Positive,"0,4308"
02/06/2014,2550,2563,2531,2550,0,76.876.800,Positive,"0,064"
03/06/2014,2550,2556,2519,2550,0,126.123.600,Positive,"0,0178"
04/06/2014,2538,2556,2525,2538,0,106.749.600,Positive,"0,1628"
05/06/2014,2550,2550,2506,2550,0,66.263.600,Positive,"0,897"
06/06/2014,2519,2544,2506,2519,0,107.951.200,Positive,"0,7189"
09/06/2014,2450,2544,2438,2450,0,134.515.200,Positive,"0,7349"
10/06/2014,2494,2494,2456,2494,0,148.333.200,Positive,"0,074"
11/06/2014,2488,2494,2463,2488,0,98.108.000,Positive,"0,1472"
12/06/2014,2481,2494,2463,2481,0,104.930.800,Positive,"0,2619"
13/06/2014,2481,2488,2463,2481,0,82.041.200,Positive,"0,6747"
16/06/2014,2463,2481,2438,2463,0,61.751.200,Positive,"0,2129"
17/06/2014,2475,2481,2444,2475,0,60.293.600,Positive,"0,5485"
18/06/2014,2469,2481,2463,2469,0,87.876.000,Positive,"0,2423"
19/06/2014,2450,2481,2444,2450,0,105.030.000,Positive,"0,5232"
20/06/2014,2450,2469,2444,2450,0,67.474.800,Positive,"0,0872"
23/06/2014,2438,2469,2431,2438,0,92.584.000,Positive,"0,6804"
24/06/2014,2444,2456,2431,2444,0,62.032.400,Positive,"0,5667"
25/06/2014,2438,2456,2425,2438,0,103.590.400,Positive,"0,9132"
26/06/2014,2463,2475,2438,2463,0,149.123.600,Positive,"0,3047"
27/06/2014,2413,2463,2406,2413,0,133.020.400,Positive,"0,4047"
30/06/2014,2431,2431,2406,2431,0,80.812.800,Positive,"0,6287"
01/07/2014,2456,2463,2425,2456,0,67.317.200,Positive,"0,797"
02/07/2014,2463,2469,2444,2463,0,107.994.400,Positive,"0,5358"
03/07/2014,2413,2469,2406,2413,0,177.824.000,Positive,"0,5435"
