Date,close,high,low,open,margin,Volume,sentiment,compound_score
18/07/2024,6550,6600,6500,6550,0,132532000,Neutral,0.0
19/07/2024,6525,6525,6450,6500,25,63165500,Positive,0.1779
22/07/2024,6700,6700,6525,6575,125,110467000,Positive,"0,4811"
23/07/2024,6625,6750,6550,6750,-125,77861700,Negative,"-0,107"
24/07/2024,6475,6575,6475,6500,-25,63940900,Negative,-0.2023
25/07/2024,6575,6575,6400,6450,125,66655400,Neutral,0.0
26/07/2024,6550,6625,6500,6575,-25,76519500,Neutral,0.0
29/07/2024,6475,6550,6450,6550,-75,54435300,Neutral,0.0
30/07/2024,6475,6550,6375,6475,0,86701400,Neutral,0.0
31/07/2024,6400,6475,6375,6400,0,99004100,Neutral,0.0
01/08/2024,6750,6750,6500,6550,200,163086200,Positive,0.1779
02/08/2024,6800,6875,6675,6700,100,167892400,Positive,"0,8249"
05/08/2024,6575,6725,6500,6700,-125,184384000,Negative,-0.2732
06/08/2024,6625,6700,6525,6650,-25,95785000,Neutral,0.0
07/08/2024,6775,6775,6650,6725,50,84582200,Neutral,-0.0
08/08/2024,6800,6850,6725,6800,0,81408500,Neutral,0.0
09/08/2024,6850,6900,6800,6825,25,79710700,Positive,"0,6581"
12/08/2024,6900,6900,6775,6875,25,50756000,Neutral,0.0
13/08/2024,7000,7000,6850,6850,150,68666000,Neutral,0.0
14/08/2024,7075,7100,7025,7075,0,97695100,Neutral,0.0
15/08/2024,7025,7075,6925,7075,-50,75955500,Negative,-0.1779
16/08/2024,7075,7125,7025,7075,0,64266400,Positive,0.743
19/08/2024,7150,7150,7025,7075,75,50246100,Positive,"0,3563"
20/08/2024,7200,7350,7150,7200,0,102615900,Positive,"0,1059"
21/08/2024,7250,7300,7225,7300,-50,88487800,Negative,"-0,1814"
22/08/2024,7050,7175,6925,7150,-100,157323000,Negative,-0.296
23/08/2024,7050,7075,6975,7000,50,111752100,Neutral,0.0
26/08/2024,7050,7100,7000,7050,0,78515400,Positive,"0,314"
27/08/2024,7025,7050,6925,7025,0,91686700,Positive,"0,5836"
28/08/2024,7225,7225,7000,7025,200,114606200,Neutral,0.0
29/08/2024,7100,7300,7100,7300,-200,94475900,Neutral,0.0
